id;depature_country;depature_address;depature_city;depature_date;depature_time;arrival_country;arrival_address;city_arrival;date_arrival;arrival_time;kilos;unit_price;valid
1;b optimize online;payment calculating;integrated;2021-05-03T13:10:51;2021-05-03T02:17:45;Chicken;Borders Unbranded up;Ball Licensed;2021-05-03T00:40:51;2021-05-03T06:58:50;79244;20087;false
2;Cambridgeshire;Kazakhstan Bacon;transmitting Coordinateur;2021-05-03T14:26:13;2021-05-02T20:25:47;Profound;a;asynchronous deposit;2021-05-03T08:51:46;2021-05-03T07:46:17;13891;15011;true
3;Architecte;Manager a;SMS;2021-05-03T09:16:42;2021-05-02T23:40:02;Garden;enterprise;Multi-lateral;2021-05-03T01:15:42;2021-05-03T02:56:45;11665;16684;false
4;lavender;c Bacon;Biélorussie Savings;2021-05-03T07:35:16;2021-05-03T08:59:02;channels b Adaptive;Shoes b Baby;Concrete;2021-05-02T18:50:08;2021-05-02T15:43:32;33507;63837;false
5;red;Music;Stand-alone real-time backing;2021-05-03T15:00:34;2021-05-03T14:38:10;user-centric calculating Mouffetard;EXE;circuit homogeneous;2021-05-03T08:56:20;2021-05-03T05:04:58;27762;83845;false
6;context-sensitive Bedfordshire Cambridgeshire;value-added Sports;auxiliary;2021-05-02T22:04:34;2021-05-02T19:19:55;Steel adapter Seamless;Architecte Algérie;Franc;2021-05-02T20:00:38;2021-05-03T08:32:22;74065;51267;false
7;open-source b;wireless quantifying redundant;Île-de-France bandwidth Incredible;2021-05-02T16:42:13;2021-05-03T08:10:46;Berkshire withdrawal;navigate Pants;Concrete;2021-05-02T20:26:37;2021-05-03T00:14:38;26108;37106;false
8;Games;Bahreïn software;Account;2021-05-02T23:04:01;2021-05-03T03:57:49;connect clear-thinking;Credit Cambridgeshire Borders;Ruble Gloves;2021-05-03T04:07:08;2021-05-02T21:32:06;66822;78813;true
9;Hong Colombie facilitate;Buckinghamshire;Plastic;2021-05-02T23:44:30;2021-05-03T09:15:42;USB Stagiaire;eyeballs open matrix;Directeur;2021-05-02T16:39:10;2021-05-03T02:04:39;45785;61075;false
10;secondary sexy;Unit Berkshire Frozen;system bandwidth action-items;2021-05-02T18:25:51;2021-05-03T05:00:01;a parsing;Hat;integrated b Account;2021-05-03T02:54:37;2021-05-02T22:11:29;91788;44416;true
